Longitude,Latitude,Elevation,Area,Farmland,Forest,Grassland,Shrubland,Wetland,Impervious,Bareland,Snow and ice,Clay,Sand,Silt,MAP,MAT,Radiation_intensity,DOC,RA_ligDOM,DA_ligDOM,DA_DOM,AImod,DBEC,NOSC,G
81.807376,58.548153,54,1919.230867,0,0.730215128,0.209283135,0.001387582,0.05860958,0.000388943,0.000115632,0,11,35,54,511,-0.98750007,111.25,16.0539467,0.522997117,0.999242822,0.999630846,0.235270048,0.597607943,0.169007748,55.48327919
81.807376,58.548153,54,1919.230867,0,0.730215128,0.209283135,0.001387582,0.05860958,0.000388943,0.000115632,0,11,35,54,511,-0.98750007,111.25,20.34624738,0.530912966,0.999090806,0.999545577,0.242060409,0.59965337,0.144578189,56.1795216
-106.951131,38.922306,2772,145.1454614,0.008468324,0.271777887,0.577859404,2.30535E-05,4.6107E-05,0.002505149,0.061445302,0.077874773,19,37,44,511,0.80833334,182.5,0.55,0.43926936,0.996324802,0.995770237,0.162904097,0.54480223,0.089206074,57.75762688
-106.951131,38.922306,2772,145.1454614,0.008468324,0.271777887,0.577859404,2.30535E-05,4.6107E-05,0.002505149,0.061445302,0.077874773,19,37,44,511,0.80833334,182.5,0.67,0.361782589,0.996790316,0.988079722,0.134250526,0.540294524,0.050772955,58.85297077
104.921,33.413,1040,632.2291234,0.326518595,0.160078625,0.316201108,0.041344591,0.001053313,0.153849982,0.000953787,0,21,36,43,514,13.07499981,162.4166667,1.8,0.320926584,0.996595888,0.99910447,0.122268797,0.519844854,-0.182126956,65.49061826
80.924539,59.004096,47,10.05845625,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0.004393067,3.87396E-05,0,11,35,54,520,-0.99166667,109.8333333,5.73659046,0.41656022,0.998081681,0.999237285,0.160698422,0.539350678,-0.024047354,60.98534959
80.924539,59.004096,47,10.05845625,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0.004393067,3.87396E-05,0,11,35,54,520,-0.99166667,109.8333333,5.13307007,0.431747624,0.998708458,0.999484429,0.177357338,0.563948409,0.066759245,58.39736153
80.924539,59.004096,47,10.05845625,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0.004393067,3.87396E-05,0,11,35,54,520,-0.99166667,109.8333333,11.52485013,0.490625941,0.999067492,0.999585344,0.212887847,0.584121169,0.128571925,56.63570013
80.821824,59.091658,42,1845738.435,0,0.253218696,0.401788067,0.000737709,0.326032354,0.015913442,0.002292168,1.75645E-05,9,79,12,523,-1.11249995,113.4166667,3.47983404,0.406860903,0.997974482,0.999298514,0.156063857,0.53978248,-0.009184416,60.56175584
80.773783,59.111852,51,1844204.936,0,0.226681032,0.405487751,0.000953777,0.361490365,0.000132469,0.005254606,0,9,79,12,524,-1.05416679,113.1666667,8.865791039,0.532692101,0.999000256,0.999525917,0.23107638,0.588894083,0.173227867,55.36300578
80.780413,59.11629,42,179.4221709,0,0.244110199,0.396678007,0.001031728,0.352842367,0.0001279,0.005209799,0,9,79,12,524,-1.02083349,113.1666667,9.387749397,0.489779534,0.999010358,0.999571102,0.209436899,0.580389402,0.128214683,56.64588153
80.848822,59.06915,42,838565.2229,0,0.25660781,0.484404793,0.000798363,0.225835956,0.030539321,0.001798254,1.55022E-05,9,79,12,525,-1.07083344,113.4166667,4.69679027,0.427835773,0.998668011,0.999501573,0.171611623,0.56047757,0.088801353,57.76916145
80.704044,59.025904,44,225982.4799,0,0.546756348,0.325163737,0.001942582,0.122950883,0.002787184,0.000345519,5.37473E-05,9,79,12,527,-1.00833344,108.0833333,7.91071813,0.459651436,0.998574176,0.999412812,0.180651448,0.547805306,0.018473808,59.77349649
104.947,33.366,1000,110.1407597,0.242745689,0.266792117,0.274493968,0.044179482,0.000383011,0.170240048,0.001165686,0,21,36,43,528,13.17083359,162.4166667,0.8,0.3658674,0.996491618,0.999028612,0.137484753,0.515374962,-0.192308356,65.78078814
80.667547,59.010709,44,224951.7065,0,0.636874793,0.258990849,0.002197641,0.099540627,0.002160891,0.000183749,5.14498E-05,9,79,12,529,-0.92499995,110,9.19047221,0.46559829,0.998704267,0.999391792,0.194963464,0.570998463,0.087110355,57.81735487
80.674698,59.009151,44,224953.58,0,0.633464363,0.260299448,0.002042022,0.101590589,0.002224345,0.000328182,5.10505E-05,9,79,12,529,-0.92499995,110,25.39369573,0.57180853,0.999152251,0.999564822,0.253028712,0.591982255,0.1549675,55.88342625
80.674698,59.009151,44,224953.58,0,0.633464363,0.260299448,0.002042022,0.101590589,0.002224345,0.000328182,5.10505E-05,9,79,12,529,-0.92499995,110,18.08343528,0.536932988,0.999196071,0.999581701,0.242819191,0.595331674,0.131367144,56.55603638
-117.181,46.732,720,851.5527191,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0.145100851,0.100762977,0,24,35,41,529,8.7458334,171.3333333,2.1,0.343780425,0.997181181,0.999057047,0.131124257,0.549451064,0.076928054,58.10755047
-117.181,46.732,720,851.5527191,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0.145100851,0.100762977,0,24,35,41,529,8.7458334,171.3333333,3.58,0.330192818,0.997089884,0.99906018,0.125785931,0.546541189,0.051504104,58.83213304
-117.181,46.732,720,851.5527191,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0.145100851,0.100762977,0,24,35,41,529,8.7458334,171.3333333,2.44,0.31381516,0.997139217,0.998951614,0.119525522,0.545762861,0.046624202,58.97121023
-105.911314,39.890669,2951,9.017472512,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0.026285287,0.010294499,19,37,44,543,1.14999998,187.1666667,1.2,0.557509525,0.995620752,0.998014768,0.193725714,0.523595331,0.027356404,59.52034248
-105.911314,39.890669,2951,9.017472512,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0.026285287,0.010294499,19,37,44,543,1.14999998,187.1666667,1.39,0.557216771,0.995984186,0.99816916,0.194536365,0.524310224,0.025818376,59.56417628
-105.911314,39.890669,2951,9.017472512,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0.026285287,0.010294499,19,37,44,543,1.14999998,187.1666667,1.16,0.547557942,0.996551709,0.998390757,0.194889283,0.530654722,0.046653153,58.97038515
104.699,33.401,1200,1684.798866,0.076114644,0.653659058,0.236552778,0.015217999,0.003262174,0.013467764,0.001725583,0,21,36,43,546,11.22500038,165.75,0.6,0.45271987,0.996710696,0.998867222,0.162153662,0.504881859,-0.185078765,65.57474481
-105.54436,40.03498,3044,4.001624291,0.000678323,0.778089417,0.194343246,5.33512E-05,0.001661509,0.00461107,0.009092572,0.011470512,19,37,44,553,1.9083333,164.5833333,3.32,0.562154397,0.99765314,0.99866794,0.218838468,0.559930673,0.13998023,56.31056343
-105.54436,40.03498,3044,4.001624291,0.000678323,0.778089417,0.194343246,5.33512E-05,0.001661509,0.00461107,0.009092572,0.011470512,19,37,44,553,1.9083333,164.5833333,3.75,0.550493382,0.997635308,0.99870137,0.213207035,0.555488898,0.111812322,57.11334881
13.62561,52.476583,33,1050.225358,0.079994587,0.391537188,0.190323059,0,0.003473542,0.333550295,0.001121329,0,6,73,21,561,9.0583334,114,7.48,0.246439234,0.996485468,0.996897073,0.092785606,0.542863957,0.039324469,59.17925263
13.62561,52.476583,33,1050.225358,0.079994587,0.391537188,0.190323059,0,0.003473542,0.333550295,0.001121329,0,6,73,21,561,9.0583334,114,8.39,0.237499831,0.996433316,0.996373039,0.08889767,0.54089896,0.034479359,59.31733828
13.62561,52.476583,33,1050.225358,0.079994587,0.391537188,0.190323059,0,0.003473542,0.333550295,0.001121329,0,6,73,21,561,9.0583334,114,6.37,0.197241859,0.996118804,0.987286159,0.073397747,0.539776578,0.03334468,59.34967662
-111.795706,40.78474,1726,29.82006937,0.049698896,0.354190453,0.507913766,0.000596984,0,0.083771743,0.003828158,0,21,34,45,565,8.45833302,188.5833333,0.81,0.55358023,0.995641919,0.998111638,0.189371386,0.512338238,-0.040951865,61.46712816
-111.795706,40.78474,1726,29.82006937,0.049698896,0.354190453,0.507913766,0.000596984,0,0.083771743,0.003828158,0,21,34,45,565,8.45833302,188.5833333,0.73,0.546779709,0.995598108,0.998112321,0.186775018,0.512269581,-0.038926063,61.40939279
104.613,33.411,1375,439.3947174,0.166492783,0.449087728,0.319061193,0.031225098,0.000706487,0.031668707,0.001758003,0,21,36,43,566,10.70416641,165.75,1,0.475203156,0.997289731,0.998897713,0.180399937,0.523915777,-0.134416543,64.13087149
-111.8053,40.78,1663,33.6161669,0.042150827,0.324459868,0.482047838,0.000514945,0,0.146244263,0.004582261,0,21,34,45,567,8.80416679,186.3333333,0.77,0.525631849,0.9956535,0.997449537,0.180315925,0.516061047,-0.014966189,60.72653639
-111.8053,40.78,1663,33.6161669,0.042150827,0.324459868,0.482047838,0.000514945,0,0.146244263,0.004582261,0,21,34,45,567,8.80416679,186.3333333,0.74,0.273395267,0.995192434,0.919509267,0.092937003,0.512473995,-0.030293501,61.16336478
104.446,34.011,1657,2599.971711,0.282251125,0.391373475,0.265524222,0.034306133,0.000540899,0.024881371,0.001122776,0,21,36,43,587,8.48750019,174.5833333,1.5,0.38938105,0.996658941,0.998964898,0.148902664,0.520172976,-0.186387737,65.61205051
103.918,34.029,1764,1150.296099,0.060313809,0.474147704,0.369251622,0.029762589,0.000295736,0.065316684,0.000911854,0,21,36,43,593,8.3125,181.5,1.2,0.475861418,0.997037499,0.998781354,0.178844382,0.520133639,-0.150002753,64.57507846
104.25,34.106,1969,853.9662027,0.084623533,0.597759126,0.286204368,0.006331486,0.000154824,0.024071056,0.000855606,0,21,36,43,602,6.76249981,174,1.7,0.345367544,0.997177466,0.999285313,0.13665051,0.535231592,-0.127908789,63.94540047
103.934,33.753,2409,705.2136833,0.06021435,0.570310071,0.356205514,0.011126565,0.000548147,0.001268101,0.000327252,0,21,36,43,619,5.92916679,179.9166667,1,0.447280736,0.996736984,0.99869378,0.16841851,0.518580384,-0.166734728,65.05193976
122.225992,40.858706,4,48444.49312,0.79825351,0.007630377,0.011592789,0,0.024792415,0.131987852,0.025743057,0,56,15,29,620,9.1916666,166.5833333,3.0205,0.321350001,0.99678775,0.999267881,0.118333967,0.537849756,0.046529045,58.97392222
103.493,34.044,2367,354.0209499,0.018169363,0.777727035,0.194611169,0.00395518,0.00013048,0.005333377,7.33951E-05,0,22,41,37,621,5.10416698,184.5,1.4,0.467017101,0.997253249,0.998818949,0.183379092,0.53073349,-0.147400925,64.50092637
