DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
11.09,97,0.31938905,0.119001642,0.551057853,0,0.000120313,0,0.010334891,9.62504E-05,0,727,8.99166679,19,37,44,108.8333333,0.99695677038689,0.998779942780888
2.2285,819,0.012120599,0.601305962,0.384912093,0.001184612,0,0,0.000476734,0,0,754,10.66666698,23,41,36,167.4166667,0.997426464694956,0.998838396130774
0.89,212,0.505133798,0.195487259,0.202198016,0,0.000291772,0,0.088948787,0.007940367,0,778,11.96249962,9,77,14,161.3333333,0.995992008742893,0.994240283521671
0.88,212,0.505133798,0.195487259,0.202198016,0,0.000291772,0,0.088948787,0.007940367,0,778,11.96249962,9,77,14,161.3333333,0.995898533751659,0.993026268311248
0.6805,715,0.01540589,0.711753563,0.26649525,0.004472678,3.60119E-05,0,0.00178619,5.04167E-05,0,779,10.57083321,23,41,36,160.3333333,0.997210737732993,0.998894957708351
0.4495,613,0.010345274,0.623776133,0.358700973,0.001706214,0.000158383,0,0.003102862,0.00221016,0,783,11.09583378,20,49,31,154.1666667,0.99755060754786,0.998958313067827
2.727,984,0.00446332,0.565500483,0.42642372,0.000461474,0.000685001,0,0.001333949,0.001132054,0,822,9.94999981,23,41,36,155.8333333,0.997688214406123,0.99888334947639
1.84,260,0.495724838,0.128303351,0.296675233,0,0.000598038,0,0.0746335,0.004065041,0,823,7.5250001,21,47,32,156.0833333,0.994775694373786,0.99847164211657
1.76,260,0.495724838,0.128303351,0.296675233,0,0.000598038,0,0.0746335,0.004065041,0,823,7.5250001,21,47,32,156.0833333,0.994613266734403,0.99845733645913
1.57,260,0.495724838,0.128303351,0.296675233,0,0.000598038,0,0.0746335,0.004065041,0,823,7.5250001,21,47,32,156.0833333,0.994717096905344,0.998582289265888
2.59,266,0.284641328,0.432067827,0.265481805,0,0.000173324,0,0.016682434,0.000953282,0,824,7.36250019,21,47,32,157.4166667,0.996852177494596,0.998962266953457
2.35,266,0.284641328,0.432067827,0.265481805,0,0.000173324,0,0.016682434,0.000953282,0,824,7.36250019,21,47,32,157.4166667,0.99740174972985,0.999039807631229
3,266,0.284641328,0.432067827,0.265481805,0,0.000173324,0,0.016682434,0.000953282,0,824,7.36250019,21,47,32,157.4166667,0.99721286015238,0.999053306129431
